Soil_Moisture,Rainfall,Temperature,Humidity,pH_Level,Nitrogen_Content,Phosphorus_Content,Potassium_Content,Crop_Height,Yield_Per_Hectare,Irrigation_Frequency,Seed_Rate,Pesticide_Usage,Weed_Infestation,Harvest_Time,Fertilizer_Usage,Soil_Type,Irrigation_Type,Crop_Type,Yield
43.7086107,33.55351154,61.47962905,68.34312587,74.82411316,43.62767366,68.88756894,16.58575889,10.39614481,68.11216016,75.69984799,78.81723949,71.69752135,15.45130748,77.12915908,245.6659802,Sandy,Flood,Fruit,308.7864949
95.56428758,32.22809192,82.48890964,25.51477259,71.8554704,39.96208866,17.20293128,18.05305447,10.02971433,46.21766448,26.6060796,10.58646841,52.0813866,28.28868339,33.58638339,277.3253037,Clay,Sprinkler,Fruit,577.1653434
75.87945476,91.56291225,78.41448368,88.5155107,18.61787788,25.85385213,31.80968303,,52.50371147,52.47181989,41.19757249,52.93449439,15.01362061,54.21369305,68.8731033,220.8185826,Loamy,Flood,Cereal,656.2499816
63.87926358,32.45915799,23.85099142,65.18046152,93.03151644,64.65400031,79.63114118,53.82466419,12.63643345,74.50523044,69.69525732,81.45139601,92.66591356,43.13352092,72.92790125,259.9799245,Sandy,Flood,Cereal,414.2427348
24.04167764,34.47547535,23.43245228,24.14834952,61.16249819,52.89617445,57.58172683,81.13737253,97.70792983,88.86754267,53.38804101,66.70402486,98.22962196,46.98210638,41.0606618,253.2998282,Loamy,Sprinkler,Vegetable,211.4356098
24.03950683,78.34584362,34.1356931,96.61042517,42.7352969,87.91308931,93.51721556,92.46437536,29.98586571,34.49969208,76.47139348,52.66568117,48.79390737,80.33026408,52.74270885,257.3547022,Sandy,Drip,Fruit,346.7966663
15.2275251,50.47658582,42.49672537,56.6528917,78.08847251,12.88986224,48.58762675,44.95301899,52.53982564,40.78691164,96.50871111,68.01778059,65.22947267,11.32113116,46.33903814,272.179542,Sandy,Flood,Cereal,228.0700982
87.95585312,79.90395013,46.76100233,16.56086067,33.16289126,67.94811348,88.28311292,63.67690239,15.5023867,93.76654567,20.48920189,91.62514028,50.52687636,69.44427337,95.26140967,294.9802091,Sandy,Drip,Cereal,684.493917
64.10035106,15.88295418,71.17274952,66.4149614,72.41588533,78.66539907,50.40598937,55.0626965,56.98435746,62.06606132,73.86109448,60.97436205,38.96916858,10.00992086,38.79539761,226.4011768,Sandy,Drip,Fruit,363.1961841
73.726532,53.88140743,15.10123889,32.78790163,13.57400868,78.35379123,98.13234508,98.34495901,44.19605126,26.10656354,30.73097401,81.98075723,16.95869136,15.6752673,26.4990738,275.8050775,Sandy,Flood,Cereal,536.325208
11.85260449,13.02522402,13.12054338,82.33241067,85.54672338,89.74665704,96.38509433,84.79759666,14.0194026,69.7325625,47.30290547,98.26684527,51.04609574,46.74575079,42.90335586,264.5140969,Sandy,Drip,Fruit,106.7363554
97.29188669,15.63878831,45.27195066,,50.33537623,75.61303685,39.6223035,92.05639374,40.161184,99.168594,12.95764532,73.50113819,83.65461007,85.68536678,70.25641368,269.5145067,Sandy,Sprinkler,Cereal,535.6490094
84.91983767,91.5793708,72.74473229,98.10526203,67.30236229,93.50290555,89.73313034,32.89060788,45.22924182,84.1108208,22.23166441,61.59931875,11.5328315,23.0496189,72.76264213,242.8919665,Clay,Sprinkler,Fruit,704.5528694
29.11051996,22.5320834,27.40918087,55.16825779,29.91140378,39.93909398,86.28502368,,99.09293421,77.11670229,38.77995601,13.37373524,62.38969149,59.91592682,93.16515838,294.4578596,Clay,Drip,Fruit,207.5184947
26.36424705,57.9178614,67.73540331,50.94611918,70.93663414,55.28884751,28.96123576,,28.70972847,28.72419888,40.77872248,43.70301084,89.26948979,71.06547041,89.35790364,247.965625,Clay,Sprinkler,Cereal,296.6697499
26.50640589,46.99860423,33.38453241,77.81280449,79.50162483,11.2671697,66.18613607,28.78682801,59.03016538,88.85258062,90.96266948,60.88984602,29.5794487,30.65795958,35.94884684,212.1591789,Loamy,Flood,Fruit,282.8329659
37.38180187,41.26089936,89.74774979,21.92235907,52.58918682,10.62618286,16.5414084,94.98395437,98.85839943,57.32099592,76.76316183,81.74859145,26.49302782,56.10972297,50.96469241,268.0692981,Sandy,Flood,Vegetable,305.7406911
57.22807885,90.98500111,90.61209498,59.22239624,65.59542317,31.61139584,85.30396485,11.7373975,81.28172871,90.03610199,97.49646714,49.42943107,79.50489631,92.02665548,77.25420894,212.8869114,,Drip,Vegetable,564.854223
,11.96410571,36.75584839,59.16228401,51.06933314,19.07264774,25.70912952,96.88498333,99.40307508,39.68450465,63.91643593,96.40524482,32.9577788,56.10056728,92.48835525,232.2675001,Clay,Sprinkler,Fruit,282.3649188
36.21062262,69.74107176,30.69943786,18.05258105,90.46822323,33.41902311,16.37332312,23.43357073,97.14684832,15.58459474,31.75423589,34.46143774,27.27858408,24.15907556,40.34485116,222.8005677,Clay,Drip,Vegetable,399.0779337
65.06676053,96.70549908,47.01735749,47.6185677,54.80822625,25.93389651,46.0197186,83.74942736,54.05855879,52.83783718,39.48895269,77.01104757,44.01903255,66.5032867,49.99972908,53.96161226,Sandy,Sprinkler,Cereal,619.3288754
22.55444746,60.41513651,31.64784267,86.79563187,85.76278381,12.56680224,61.92299247,34.83302978,72.67382649,34.28538443,38.7852331,47.71282754,45.3251811,63.2980162,90.95304434,51.97077275,Sandy,Flood,Cereal,288.1540788
36.29301837,94.31402158,70.5145459,87.05382598,82.12168524,91.83737318,86.94252627,41.56320947,19.93988142,74.37063608,39.38448949,53.73896451,88.66909567,12.42592838,42.26354858,57.02643806,Loamy,Sprinkler,Fruit,462.676007
42.9725659,14.70320914,84.34582161,18.93138984,46.94543392,10.74008183,97.6818273,29.50819402,49.70339425,96.13958976,70.56677558,82.22518305,65.65991247,18.15349652,53.24616876,52.00654283,Loamy,Sprinkler,Cereal,262.4784241
,47.69139872,70.57829178,18.16487945,30.70760427,76.24739299,49.55432613,62.69626382,82.8116688,72.1876736,57.77271353,36.65937355,46.53653107,24.11032196,91.40537271,57.27312378,Sandy,Drip,Cereal,395.5611512
80.66583653,33.41420119,84.19154025,33.64259293,46.54739193,23.69330982,15.44022307,41.32859928,55.48017889,89.82405367,44.68817603,18.71308509,58.09491679,22.26601698,82.20188962,48.52741765,Loamy,Flood,Vegetable,508.8028141
27.97064039,75.77388685,45.7292946,88.72894563,84.35956382,92.10066598,77.42040211,69.16537355,73.24291295,50.77216122,23.41807919,56.82300262,95.856871,33.35191935,31.90878325,49.11786877,Clay,Sprinkler,Cereal,367.6555647
56.28109946,98.31673814,24.06852736,21.60123266,30.48692822,90.35163456,60.86559306,11.40825861,77.1176197,79.44766635,11.99252466,57.59151506,20.18932089,50.86947909,39.23155589,41.95112792,Loamy,Flood,Cereal,581.6862351
,33.08770562,76.41558527,74.79971224,57.19927113,68.85110317,50.31022104,15.79373952,,85.8739093,29.69512098,81.7450995,28.69439696,43.45446681,41.76628547,42.86108727,Clay,Sprinkler,Vegetable,421.4946188
14.18053714,68.87571413,42.44270546,19.10490577,82.54870732,70.50107348,37.83419909,18.96950375,88.81294356,73.97880648,19.67242636,97.14872856,96.62758359,90.15849023,92.14646261,63.00411586,,Flood,Fruit,279.0821023
64.67903667,27.82878695,70.41437427,66.08240684,41.81297276,10.48052278,55.21586751,47.70943168,51.38401878,55.69995575,80.69005278,14.97706177,96.15923637,65.08984685,99.90403634,54.66565425,,Sprinkler,Fruit,406.2089611
25.34717113,60.87972291,34.35795478,42.04605692,67.79886733,98.63844095,40.4811644,83.33165554,28.91665933,66.32794987,20.1248162,63.25205264,25.94488791,88.8529915,79.66038719,34.60826902,Loamy,Flood,Vegetable,306.6979039
,51.7539238,17.31066713,81.00225667,32.10684166,89.00493432,78.1310681,89.93601193,87.88742936,73.04562961,75.18054136,71.31506773,23.05979354,57.43353924,53.58936722,60.57556716,Loamy,Sprinkler,Vegetable,228.8068806
95.39969835,97.48047967,99.33236159,31.03214039,19.83515008,90.55956032,58.95043268,32.03296661,47.60369255,32.77759629,44.70928208,98.72212157,47.89766209,18.08834236,10.91564363,51.25375369,Sandy,Flood,Cereal,778.038739
96.90688298,64.76745454,24.05813571,67.52816465,81.49458026,69.33200833,88.91629967,61.69327518,77.52811945,82.86213348,16.60405508,94.83311928,14.47464632,51.69587042,72.77392509,42.07302596,Sandy,Sprinkler,Cereal,679.236049
